Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,"Catalog Nbr",Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W
"Saar Hambazaza, Terje",,,,,,LIT,2331,502,3,4,2,1,,1,1,4,,1,2,1,1,,,,,,0
"Biswas, Madhavi",,,,,,LIT,2331,501,,8,9,2,1,,2,,,,,,1,,,,,,0
"Cotter, Sean J",,,,,,LIT,3312,001,,6,1,4,3,2,4,4,,,,,3,,,,,,1
"Brewer, Kenneth L",,,,,,LIT,3321,501,2,15,6,5,6,3,2,,1,,,,2,,,,,,1
"Starnaman, Sabrina",,,,,,LIT,3323,501,2,4,2,7,1,4,,1,,,1,,1,,,,,,1
"Starnaman, Sabrina",,,,,,LIT,3329,001,9,7,1,6,2,3,1,,1,,,,,,,,,,2
"Ozsvath, Zsuzsanna",,,,,,LIT,3343,501,1,5,7,7,3,2,1,1,,,,,2,,,,,,1
"Palant, Jonathan",,,,,,MUSI,2127,001,,18,,,,,,,,,,,,,,,,,0
"Parsoneault, Catherine",,,,,,MUSI,2317,003,5,4,2,,1,3,,1,1,1,1,,1,,,,,,0
"Amato, Lawrence A","del Bosque, Isai",,,,,PHIL,1301,501,4,1,5,9,8,11,5,5,5,2,2,3,5,,,,,,4
"Amato, Lawrence A",,,,,,PHIL,2316,501,4,8,9,3,8,3,1,1,,,,,3,,,,,,2
"Camacho-Guardado, Lorena",,,,,,SPAN,4364,001,10,4,3,,,,,,,,,,,,,,,,0
"Noland, Jeff",,,,,,FIN,3395,501,,5,3,4,2,4,,,,,,,,,,,,,0
"Gafford, Jerome M",,,,,,MKT,3330,502,9,5,5,2,1,3,,,,,,,1,,,,,,2
"Golden, Richard",,,,,,ACN,6349,5H1,,9,6,,,,,,,,,,,,,,,,0
"Kelly, Mary Lena U",,,,,,SCI,5326,501,,4,,,1,,,,,,,,1,,,,,,0
"Amirpour, Semiramis",,,,,,MKT,3330,006,15,5,1,1,3,1,,,,,,1,1,,,,,,1
"Henslee, Austin","Mohan, Karthik",,,,,MIS,6346,501,,8,9,8,6,2,,,,,,,,,,,,,0
"Dogan, Kutsal","Chanda, Dipendu",,,,,MIS,6326,002,,15,9,15,10,9,,1,,,,,,,,,,,0
"Thouin, Mark","Gajjar, Sarthak V","Gharge, Padmaja",,,,MIS,6360,0W1,,40,8,,2,,1,,,,,,,,,,,,0
"Henslee, Austin","Mohan, Karthik",,,,,BUAN,6346,501,,7,6,7,3,2,,,,,,,,,,,,,0
"Xia, Jun",,,,,,BPS,7302,001,,6,1,2,,,,,,,,,,,,,,,0
"Park, Haemin",,,,,,BPS,7307,001,,2,5,1,1,,,,,,,,,,,,,,0
"Dogan, Kutsal","Chanda, Dipendu",,,,,MIS,6326,003,,13,6,11,9,4,,3,,,,,1,,,,,,1
"Straach, Janell","Ledbetter, Cheryl","Hu, Xinyu",,,,SE,6388,001,,6,,2,,1,,2,,,,,,,,,,,0
"Lee, Seunghyun","Jung, Young-Hoon",,,,,IMS,4373,001,,5,18,4,2,2,1,,,,,,,,,,,,0
"Harrison, Richard","Kemp, Ayenda",,,,,OB,6V99,501,,10,,,2,,,1,,,,,,,,,,,1
"Carlsen-Landy, Beverly L",,,,,,SOC,3331,0W1,5,5,5,3,7,6,2,,1,3,,2,2,,,,,,0
"Lanham, Carol C","Love-Hal, Jewell N",,,,,SOC,3343,001,1,16,16,7,9,8,6,2,1,2,,,5,,,,,,1
"Hennessy, Emily T",,,,,,ED,4343,001,12,3,2,,,,,,,,,,,,,,,,0
"Simoni, Zachary","Love-Hal, Jewell N",,,,,SOC,4371,001,12,24,19,6,4,5,2,,,1,,,,,,,,,1
"Skaggs, Sheryl L",,,,,,SOC,6344,001,,11,1,,,,,,,,,,1,,,,,,1
"Smith, Erin",,,,,,AMS,2341,HN1,1,8,5,2,2,4,1,,1,,,,1,,,,,,0
"Baetge, Claire",,,,,,HLTH,1301,0W2,2,10,7,2,8,2,1,1,,,,,,,,,,,0
"Werhnyak, Larissa",,,,,,ISIS,4V89,001,,3,3,1,4,4,1,,1,,,,,,,,,,0
"Hooton, Edward",,,,,,MATH,1325,007,1,3,9,5,,1,,3,2,3,4,2,10,,,,,,3
"Norwood, John",,,,,,MATH,1325,009,8,2,13,3,4,5,5,1,1,,1,1,3,,,,,,0
"Pogue, Neall W",,,,,,ISIS,4V89,501,,4,,4,10,2,,1,,,,,,,,,,,2
"Mussa, Derege",,,,,,MATH,1326,005,12,6,3,3,1,2,2,1,4,2,3,2,3,,,,,,3
"Rice, David",,,,,,MATH,1326,007,3,5,2,4,4,,2,8,3,1,1,1,8,,,,,,4
"Chika, Charles E",,,,,,MATH,2312,005,6,3,4,5,2,2,5,5,2,2,1,1,7,,,,,,2
"Li, Changsong",,,,,,MATH,2415,003,2,21,2,5,14,1,4,8,,3,2,,8,,,,,,2
"Hoang, Trang T",,,,,,PA,3378,001,10,7,3,,3,2,,1,,,,,1,,,,,,0
"Benavides, Teodoro J",,,,,,PA,4351,001,,8,,,2,,,,,,,,,,,,,,0
"Goeckner, Matthew",,,,,,NATS,1101,022,20,5,3,,1,2,2,,,,1,1,,,,,,,0
"Goeckner, Matthew",,,,,,NATS,1101,023,30,2,,1,2,,,,,,,,,,,,,,1
"Candas, Mehmet",,,,,,NATS,1101,024,,33,,,,,,,,,,,,,,,,,0
"Horner, Natasha","Goeckner, Matthew",,,,,NATS,1101,026,,34,,,2,,,,,,,,,,,,,,0
"Packard, Christopher J",,,,,,PA,6342,001,,10,3,1,1,1,,1,,,,,,,,,,,0
"Lee, Young-Joo",,,,,,PA,6382,501,,6,2,2,2,1,,,,,,,,,,,,,0
"Duncan, Monique N",,,,,,UNIV,2114,PA1,,,,,,,,,,,,,,,20,,,,0
"Duncan, Monique N",,,,,,UNIV,2114,PA2,,,,,,,,,,,,,,,20,,,,0
"Dover, Howard F","Shuang, Qian",,,,,MKT,4331,001,,21,,2,9,,,,,,,,,,,,,,1
"Smith, Kenneth L",,,,,,FIN,6301,005,,14,1,,5,4,,,,,,,,,,,,,1
"Springate, David J",,,,,,FIN,6355,001,,4,3,1,2,1,,,,,,,,,,,,,0
"Dabkowski, Mieczyslaw K","Lama, Sonam",,,,,MATH,2420,HN1,6,8,,2,1,,,1,,,,,1,,,,,,0
"Ramakrishna, Viswanath","Akrobotu, Prosper D",,,,,MATH,2417,HN1,14,6,,,,,,,,,,,,,,,,,0
"Prasad, Ashutosh",,,,,,MKT,6301,503,,10,3,3,1,,,,,,,,,,,,,,0
"Kumar, Nanda","Bhave, Ashutosh C",,,,,MKT,6323,001,,13,,,9,,,1,,,,,,,,,,,0
"Saeed, Kashif","Shanmukh, Shravya",,,,,MIS,6309,0W2,,11,10,10,10,,,,,,,,,,,,,,0
"Saeed, Kashif","Jain, Mohit",,,,,MIS,6345,0W1,,12,8,6,2,,,,,,,,,,,,,,0
"Saeed, Kashif","Jain, Mohit",,,,,BUAN,6345,0W1,,6,1,3,9,2,,,,,,,,,,,,,0
"Henslee, Austin","Mohan, Karthik",,,,,BUAN,6346,502,,14,13,14,8,5,,,,,,,,,,,,,0
"Murphy, Jessica C",,,,,,HONS,3199,H10,,14,,,,,,,,,,,,,,,,,0
"Miller, Van S",,,,,,HONS,3199,H13,6,9,,,,,,,,,,,,,,,,,0
"Rankin, Monica A",,,,,,HONS,3199,H19,,10,,,,,,,,,,,,,,,,,0
"Saeed, Kashif","Shanmukh, Shravya",,,,,ACCT,6309,0W2,,1,,4,1,,,,,,,,,,,,,,2
"Dodge, Nathan B",,,,,,EE,2310,001,28,5,2,2,1,,6,1,2,1,,1,4,,,,,,0
"Dodge, Nathan B",,,,,,EE,2310,501,19,3,1,4,6,5,2,2,5,1,,1,5,,,,,,3
"Florence, James M","Abbasalipour, Amin","Baral, Ashwin Bhobani","Kumar, Varun Subramaniam",,,EE,1100,001,,19,14,6,15,9,5,3,,,3,,4,,,,,,3
"Florence, James M",,,,,,EE,1100,002,,21,12,6,21,7,6,8,3,,,,6,,,,,,0
"Florence, James M",,,,,,EE,1100,003,,16,10,11,16,15,6,6,1,,2,,2,,,,,,4
"Thamban, P.L.Stephan","Garimella, Martand Mayukh",,,,,MECH,2330,501,1,2,,5,3,2,1,3,4,2,3,,,,,,,,0
"Khan, Ziaullah","Kadiyala, Krishna P","Shams, Shahab","Chaparro Arenas, Oscar Javier",,,CS,3345,502,15,3,7,7,4,3,4,1,,,,,2,,,,,,1
"Vidyasagar, Mathukumalli",,,,,,MECH,6323,001,,5,6,2,,1,,,,,,,,,,,,,0
"Dissanayake, Dushanthi S","Weiland, Ashley",,,,,CHEM,1111,602,6,14,7,,1,1,,,,,,,,,,,,,1
"Karunathilake, Arosha A","Sturgeon, Grant J",,,,,CHEM,1111,603,8,15,1,,,2,,,,,1,,3,,,,,,0
"Dissanayake, Dushanthi S","Ren, Yi Xin",,,,,CHEM,1111,604,4,16,2,1,,1,,2,1,,1,,,,,,,,2
"Higgins, Austin M",,,,,,FIN,4390,501,11,15,,,,,,,,,,,,,,,,,0
"Huang, Yu","Jayawickramage, Rangana Aloka",,,,,CHEM,1311,006,4,9,9,9,9,18,9,9,12,6,9,2,24,,,,,,5
"Shah, Shailesh N","Shamir, Alexandra","Saavedra, Daniel P",,,,CHEM,2123,125,6,19,4,,,,,,,,,,,,,,,,0
"Lv, Bing","Wu, Hanlin",,,,,PHYS,2325,003,17,10,6,9,12,10,3,8,5,7,1,,8,,,,,,2
"Mcmechan, George",,,,,,GEOS,5384,001,,1,1,4,1,,,,,,,,,,,,,,0
"Griffin, William R","Hetti Pathirannehelage, Diluni Ayeshika W",,,,,GEOS,3421,001,4,2,3,8,2,1,,,,,,,,,,,,,0
"Shilpakar, Prabin","Landreneau, Lauren A","Sokol, Sarah A",,,,GEOS,1303,003,1,1,2,3,1,4,5,3,,2,2,,3,,,,,,3
"Dodge, Nathan B",,,,,,CE,2310,001,14,2,,1,4,4,1,,1,1,2,,6,,,,,,0
"Dodge, Nathan B",,,,,,CE,2310,501,10,,2,,7,1,,1,3,1,1,1,2,,,,,,2
"Khan, Ziaullah","Kadiyala, Krishna P","Shams, Shahab","Chaparro Arenas, Oscar Javier",,,SE,3345,502,1,,,2,4,,,3,,,1,,,,,,,,0
"Sibert, John W",,,,,,CHEM,1115,HN1,6,22,2,,,,,,,,,,,,,,,,0
"Sibert, John W",,,,,,CHEM,1315,HN1,5,11,3,4,2,4,,1,,,,,,,,,,,0
"Thompson, Christina M","Ahmadi-Tehrani, Dara",,,,,CHEM,2127,HN1,15,5,,,,,,,,,,,,,,,,,1
"Biewer, Michael C",,,,,,CHEM,2327,HN1,,13,1,2,1,2,1,,1,,,,,,,,,,1
"Chan, Julia Y",,,,,,CHEM,5341,001,,5,,5,2,,,1,,,,,1,,,,,,1
"Zheng, Jie",,,,,,CHEM,6V59,001,,3,4,,,,,,,,,,,,,,,,0
"Meloni, Gabriele",,,,,,CHEM,6361,501,,1,7,1,1,2,,,,,,,,,,,,,0
"Ali, Mohammed Z","Mitra, Arkadeep",,,,,ENGR,2300,001,,24,,6,8,4,1,6,,,,,,,,,,,0
"Deluke, Eugene","Patil, Lalit D",,,,,OPRE,3310,0W2,1,13,,3,13,,1,12,,,3,,,,,,,,0
"Heins, Matthew S","Yao, Haohan",,,,,EERF,7V89,001,,21,,,,,,,,,,,,,,,,,0
"Sethi, Awanti","Chen, Jiayu",,,,,OPRE,6301,502,,14,8,13,9,2,4,5,,,,,2,,,,,,4
"Grigsby, Mike",,,,,,MKT,6V99,001,,5,,,8,,,,,,,,,,,,,,0
"Moshier, Jeffrey H",,,,,,MKT,4V93,501,2,2,2,1,1,4,1,1,,,,,,,,,,,2
"Morgan, Barbara",,,,,,ECS,3390,007,,1,2,4,5,,1,1,1,,,3,,,,,,,1
"Dickson, Deborah W",,,,,,ECS,3390,008,,5,4,9,,,,,1,,,,,,,,,,0
"Ware, Taylor H",,,,,,BMEN,6V87,002,,1,3,1,1,,,1,,,,,,,,,,,0
"Torlak, Murat","Baral, Ashwin Bhobani",,,,,EESC,6390,001,,7,3,5,5,4,,,,,,,,,,,,,0
"Kehtarnavaz, Nasser","Dawar, Neha",,,,,EESC,6363,001,,3,7,3,8,2,4,4,,,,,,,,,,,3
"Nosratinia, Aria",,,,,,EESC,6344,001,,4,3,,,,,,,,,,,,,,,,1
"Fey, Nicholas","Li, Wentao",,,,,BMEN,2320,003,,8,,,13,,,7,,,1,,1,,,,,,0
"Case, Allison B","Shimizu, Eileen N",,,,,BMEN,3130,101,,4,5,2,,,,2,1,,,,1,,,,,,1
"Dai, Xianming",,,,,,MECH,6375,001,,5,5,1,,,,,,,,,1,,,,,,0
"Hazzard, Charles F",,,,,,IMS,3310,HO2,4,6,2,1,,,,,,,,,,,,,,,0
"Schlereth, Eric R","Hanna, John M",,,,,HIST,1301,013,,12,10,8,18,13,10,5,3,3,1,,4,,,,,,2
"Morales, Linda","Hogue, Steven D",,,,,CS,3305,002,5,10,9,6,7,8,,11,,,1,,1,,,,,,10
"Zhou, Xiaolu",,,,,,ACCT,2301,007,3,10,5,4,7,10,,8,5,,5,,3,,,,,,0
"Meier, Jean-Marie","Chen, Chen",,,,,FIN,4310,003,9,2,4,2,,5,3,4,4,3,2,,2,,,,,,1
"Webb, Jennifer H","Park, Jinkyu",,,,,EE,3302,002,3,11,13,11,5,4,1,1,,,,,1,,,,,,0
"Fahimi, Babak","Luo, Ziyang",,,,,EE,3301,002,,8,,1,3,1,5,2,1,,1,,5,,,,,,1
"Webb, Jennifer H","Park, Jinkyu",,,,,CE,3302,002,1,,2,1,2,3,1,,,,,,,,,,,,0
"Fahimi, Babak","Luo, Ziyang",,,,,CE,3301,002,,,1,2,1,2,6,3,,,4,,1,,,,,,0
"Root, Alexey",,,,,,ED,4358,0W2,5,11,,,3,,,,1,,,,,,,,,,1
"Radhakrishnan, Suresh","Varghese, Danny",,,,,ACCT,6301,MBC,,31,13,6,3,,,,,,,,,,,,,,0
"Ali, Ashiq","Kale, Devendra",,,,,ACCT,6301,0W1,,10,15,5,5,3,2,,,,,,,,,,,,3
"Guler, Lale",,,,,,ACCT,6301,501,,29,3,6,6,3,3,3,,,,,1,,,,,,1
"Radhakrishnan, Suresh","Varghese, Danny",,,,,ACCT,6301,MBP,,25,13,3,3,,,,,,,,,,,,,,1
"Peabody, Stephen D","Suntreerat, Patchara",,,,,FIN,3320,010,4,6,7,5,3,5,2,2,7,,2,2,2,,,,,,1
"Davis, Renee",,,,,,ED,4351,001,10,9,5,1,1,,,,,,,,,,,,,,0
"Farmer, J Michael",,,,,,HIST,4358,001,,3,1,4,7,4,3,6,1,1,1,2,1,,,,,,2
"Ferguson, John F",,,,,,GEOS,5381,001,,5,,,2,,,,,,,,,,,,,,0
"Ramakrishna, Viswanath",,,,,,MATH,4301,002,3,2,1,1,2,,1,,1,,,,1,,,,,,1
"Case, Allison B",,,,,,BMEN,7341,001,,21,,,,,,,,,,,,,,,,,0
"Knight, Kim A",,,,,,ATCM,6300,001,,8,2,2,,2,1,,,,,,,,,,,,0
"MacDonald, Dale W",,,,,,ATCM,6304,001,,8,,,,,,,,,,,,,,,,,0
"Johnson, Casey A",,,,,,ATCM,6305,001,,1,3,1,3,1,,,,,,,,,,,,,0
"McComber, Sean",,,,,,ATCM,6312,001,,3,,,3,,,1,,,,,,,,,,,0
"Scott, Andrew F",,,,,,ATCM,6321,001,,9,,,,,,,,,,,,,,,,,0
"Malina, Roger F",,,,,,ATCM,6325,501,,3,4,2,,,,,,,,,,,,,,,1
"Nguyen, Josef D",,,,,,ATCM,6336,001,,1,2,1,1,,,,,,,,1,,,,,,0
"Nazir, Cassini",,,,,,ATCM,6365,501,,4,2,,1,,,,,,,,,,,,,,0
"Burrough, Xtine",,,,,,ATCM,6377,501,,8,2,,1,,,,,,,,,,,,,,1
"Lee, Angela M",,,,,,ATCM,6392,501,,4,,,2,,,1,,,,,,,,,,,0
"Cooley, Heidi",,,,,,ATCM,7331,501,,5,3,1,,,,,,,,,,,,,,,0
"Lester, Paul","Park, Gue Won",,,,,ATCM,1100,002,,13,,,5,,,11,,,,,3,,,,,,0
"Wood, Harold G",,,,,,ATCM,1100,003,,24,,,,,,,,,,,,,,,,,0
"Wood, Harold G",,,,,,ATCM,1100,004,,32,,,,,,,,,,,1,,,,,,0
"Boyd, Elizabeth","Murphy, Morgan K",,,,,ATCM,1100,005,14,,7,1,2,1,,2,1,1,2,,1,,,,,,1
"Nielsen, Christina R","Owens, Samantha L",,,,,ATCM,1100,006,,23,2,2,3,1,1,,1,,,2,2,,,,,,0
"Porritt, Joseph","Benke, Nicholas P","Aldridge, Donna A","Nazir, Cassini",,,ATCM,2302,001,13,9,2,1,1,1,,1,,1,,,1,,,,,,0
"Porritt, Joseph","Benke, Nicholas P","Aldridge, Donna A","Nazir, Cassini",,,ATCM,2302,002,19,4,2,1,2,,,,,,,,,,,,,,0
"Hewitt, Sharon","Porritt, Joseph","Benke, Nicholas P",,,,ATCM,2302,003,11,3,5,2,1,1,3,1,2,,,,,,,,,,0
"Porritt, Joseph","Benke, Nicholas P","Aldridge, Donna A","Nazir, Cassini",,,ATCM,2302,004,9,11,1,2,1,,2,1,,,,,1,,,,,,1
"Porritt, Joseph","Benke, Nicholas P","Aldridge, Donna A","Nazir, Cassini",,,ATCM,2302,005,15,7,5,1,,1,,,,,,,,,,,,,0
"Hewitt, Sharon","Porritt, Joseph","Benke, Nicholas P",,,,ATCM,2302,006,8,5,6,2,3,3,,1,,,,1,1,,,,,,0
"Hewitt, Sharon","Benke, Nicholas P","Porritt, Joseph",,,,ATCM,2302,501,8,7,3,3,,4,1,1,1,,,,,,,,,,1
"Salter, Monika","Narramore, Karyn M",,,,,ATCM,2303,001,19,7,8,4,3,2,1,,1,,,,,,,,,,1
"Oropallo, Kara I","Narramore, Karyn M",,,,,ATCM,2303,002,7,7,9,8,5,6,2,1,1,,,,,,,,,,0
"Oropallo, Kara I","Carr, Adam M",,,,,ATCM,2303,501,4,8,9,4,2,5,,,,,,,,,,,,,0
"Oropallo, Kara I","Carr, Adam M",,,,,ATCM,2303,502,11,14,14,4,3,2,,,,,,,,,,,,,0
"Imaoka, Laura",,,,,,ATCM,2320,002,,,5,4,4,4,,,,,,,2,,,,,,1
"Hall, Phillip",,,,,,ATCM,2305,001,,135,6,,,,,,,,2,,2,,,,,,3
"Scott, Andrew F","Marder, Amanda K",,,,,ATCM,2355,001,1,2,2,2,4,,1,3,,,,,4,,,,,,1
"Fitzgerald, Harold E",,,,,,ATCM,2345,001,1,6,6,1,2,2,,,,,,,2,,,,,,1
"Fitzgerald, Harold E",,,,,,ATCM,2345,002,1,8,7,,2,1,,,1,,,,3,,,,,,0
"Fitzgerald, Harold E",,,,,,ATCM,2345,003,,7,9,3,2,2,,,1,,,,,,,,,,1
"Fitzgerald, Harold E",,,,,,ATCM,2345,004,3,4,5,,1,2,1,,1,,,1,,,,,,,1
"Andreen, Michael T","Harper, Richard C","Bernfeld, Luke S","West, Stephen B","Drury, Hannah E",,ATCM,2365,501,,77,,,42,,,12,,,4,,3,,,,,,2
"Joyce, Lindsey",,,,,,ATCM,3301,001,2,8,4,1,1,2,,1,,,,,2,,,,,,1
"Joyce, Lindsey",,,,,,ATCM,3301,002,9,6,4,1,3,1,1,,,,,,,,,,,,0
"Joyce, Lindsey",,,,,,ATCM,3301,003,4,9,6,2,1,1,,1,,,,,,,,,,,0
"Joyce, Lindsey",,,,,,ATCM,3301,004,12,6,3,1,1,1,,,,,,,,,,,,,0
"Fechter, Todd A",,,,,,ATCM,3309,001,2,6,6,1,5,,,,,,,,,,,,,,0
"Nielsen, Christina R",,,,,,ATCM,3330,001,,5,10,5,2,2,,1,,,,,,,,,,,0
"Nielsen, Christina R",,,,,,ATCM,3330,002,,12,8,4,4,,,1,,,,,,,,,,,0
"Drogos, Kristin L",,,,,,ATCM,3385,001,,7,5,3,4,5,1,2,1,,1,1,,,,,,,0
"Andreen, Michael T",,,,,,ATCM,4376,001,,10,18,,,,,1,,,,,,,,,,,0
"Nielsen, Christina R",,,,,,ATCM,4397,002,1,3,4,1,5,2,1,,,,,1,,,,,,,0
"Lewis, Timothy M",,,,,,ATCM,4397,004,1,2,4,4,3,1,3,,1,,,,1,,,,,,0
"Hall, Phillip",,,,,,ATCM,4397,005,,6,,,4,,,,,,1,,,,,,,,0
"Miller, Van S",,,,,,NSC,4350,001,2,7,1,2,3,1,,1,1,,4,,2,,,,,,1
"Christopher, Timothy V",,,,,,ATCM,1100,007,,13,4,,4,1,,1,,,,1,8,,,,,,1
"Christopher, Daedra","Larson, Sarah R","Nazir, Cassini",,,,ATCM,2301,001,2,4,8,4,2,3,1,1,1,1,,,1,,,,,,0
"Christopher, Daedra","Larson, Sarah R","Nazir, Cassini",,,,ATCM,2301,002,1,9,10,2,4,1,,1,1,,,,1,,,,,,0
"Christopher, Daedra","Larson, Sarah R","Nazir, Cassini",,,,ATCM,2301,003,4,14,2,2,1,2,1,1,,,,1,1,,,,,,1
"Naz, Asma","Nazir, Cassini",,,,,ATCM,2301,004,1,11,7,2,1,1,,,,,3,,2,,,,,,0
"Naz, Asma","Nazir, Cassini",,,,,ATCM,2301,005,1,10,5,3,4,1,1,2,,,2,,,,,,,,0
"Lester, Paul","Nazir, Cassini",,,,,ATCM,2301,006,,7,,,17,,,2,,,,,,,,,,,3
"Lester, Paul","Nazir, Cassini",,,,,ATCM,2301,501,,11,,,12,,,4,,,,,2,,,,,,0
"Naz, Asma","Nazir, Cassini",,,,,ATCM,2301,502,3,8,8,1,2,3,,,,,,1,2,,,,,,1
"Camacho, Christopher J",,,,,,ATCM,3305,001,1,1,2,3,3,2,2,2,6,3,1,,3,,,,,,0
"Hall, Phillip",,,,,,ATCM,3305,002,,9,7,,7,1,,3,,,1,,1,,,,,,0
"Boyd, Elizabeth",,,,,,ATCM,3306,001,1,,2,6,2,2,1,3,3,2,1,1,4,,,,,,2
"McCord, Peter A",,,,,,ATCM,3306,002,,1,3,1,2,6,,2,2,,1,,6,,,,,,5
"Taylor, Kevin R",,,,,,ATCM,3306,501,,1,,1,,2,1,1,,1,,1,9,,,,,,3
"McCord, Peter A",,,,,,ATCM,3307,001,,1,6,1,7,3,2,2,2,,1,,1,,,,,,3
"McCord, Peter A",,,,,,ATCM,3307,002,,,2,6,6,3,3,1,,2,3,,1,,,,,,2
"Camacho, Christopher J",,,,,,ATCM,3308,001,2,7,,3,3,2,,2,2,,,,5,,,,,,0
"Camacho, Christopher J",,,,,,ATCM,3308,002,1,4,1,1,,1,,,,1,1,,4,,,,,,0
"Banner, Olivia P",,,,,,ATCM,3321,001,,11,6,4,7,2,,,,,,,,,,,,,0
"Starzer, Kenneth W",,,,,,ATCM,3335,001,3,5,5,6,3,4,1,1,1,,,,,,,,,,0
"Maxwell, Chelsea L",,,,,,ATCM,3337,501,2,3,6,1,1,,1,1,,,,1,1,,,,,,0
"Camacho, Christopher J",,,,,,ATCM,3338,001,8,4,6,1,4,2,,,,,1,,1,,,,,,1
"Chandler, Adam W",,,,,,ATCM,3338,002,1,4,8,1,5,3,,,3,,1,1,,,,,,,2
"Minnish, Roxanne W",,,,,,ATCM,3340,001,4,12,2,5,3,2,,,1,,,,,,,,,,1
"Minnish, Roxanne W",,,,,,ATCM,3340,002,8,13,2,4,2,,1,,,,,,,,,,,,0
"Minnish, Roxanne W",,,,,,ATCM,3340,003,10,11,4,1,2,,,,,,,,,,,,,,0
"Dowling, Patrick G",,,,,,ATCM,3350,001,,27,1,,,,,,,,,,1,,,,,,0
"Stephens, Michael H",,,,,,ATCM,3350,501,1,13,5,1,1,,,,,,,,,,,,,,0
"Stephens, Michael H",,,,,,ATCM,3350,502,3,19,1,,,,,,1,,1,,,,,,,,0
"Dowling, Patrick G",,,,,,ATCM,3350,503,,22,,,,,,,,,,,,,,,,,0
"Wu, Hong An",,,,,,ATCM,3366,001,2,5,5,1,1,2,1,,,1,,,3,,,,,,0
"Chandler, Adam W",,,,,,ATCM,3367,001,1,2,3,3,4,10,1,2,1,,,,2,,,,,,1
"Billingslea, Steven L",,,,,,ATCM,3367,501,7,7,5,4,2,1,,,1,,,,1,,,,,,1
"Chandler, Adam W",,,,,,ATCM,3368,001,1,1,4,2,3,1,,1,9,,,2,2,,,,,,3
"Koknar, Cenk",,,,,,ATCM,3368,002,,1,3,4,4,3,,2,2,1,1,,6,,,,,,0
"Evans, Monica J",,,,,,ATCM,3369,001,,11,2,1,2,,,,3,,,,,,,,,,0
"Lewis, Timothy M",,,,,,ATCM,3370,001,,3,3,2,4,5,2,1,2,,,,1,,,,,,1
"Wu, Wei L","Yuan, Jing",,,,,CS,6360,005,,11,11,10,6,,,,,,,,,,,,,,0
"Huynh, Dung T","Dhoked, Sahil",,,,,CS,6363,008,,8,4,2,1,,,,,,,,,,,,,,0
"Ruozzi, Nicholas R","Xiong, Hao",,,,,CS,6375,005,,12,9,6,3,4,1,,,,,,2,,,,,,1
"Lewis, Timothy M",,,,,,ATCM,3370,002,1,2,5,4,3,2,2,1,2,1,,,2,,,,,,1
"Hall, Phillip",,,,,,ATCM,4305,001,,1,4,1,4,3,,,,,,,,,,,,,0
"Boyd, Elizabeth",,,,,,ATCM,4306,001,,,2,7,5,2,,,2,,1,,,,,,,,2
"Farrar, Eric T",,,,,,ATCM,4308,001,,2,1,1,3,2,1,1,,1,,,,,,,,,0
"Kitagawa, Midori",,,,,,ATCM,4310,001,4,5,3,3,2,,,1,,,,,,,,,,,0
"Burrough, Xtine",,,,,,ATCM,4330,001,,12,7,2,4,1,1,2,,,,,,,,,,,1
"Nazir, Cassini",,,,,,ATCM,4337,001,2,14,10,2,2,,,,,,,,,,,,,,0
"Stewart, Michael C",,,,,,ATCM,4365,001,,1,2,,2,2,1,1,1,,1,1,3,,,,,,4
"Naasz, Jacob C",,,,,,ATCM,4365,002,1,5,5,3,,2,,,,,,,,,,,,,1
"Christopher, Timothy V",,,,,,ATCM,4365,003,,5,5,2,3,1,,,1,,1,,1,,,,,,0
"Miller, James W",,,,,,MATH,1325,013,4,2,8,9,,8,3,3,2,2,2,,2,,,,,,1
"Zhou, Dian","Buck, Prashant C",,,,,CE,3120,107,,11,,,5,,,1,,,,,3,,,,,,0
"Shekhar, Gaurav","Murugan, Aravind Vasu",,,,,MIS,6309,502,,8,16,23,5,,1,,,,,,,,,,,,0
"Ahmed, Zulfi S",,,,,,MIS,6333,001,,16,,,,,,,,,,,,,,,,,0
"Huisman, Ingrid",,,,,,ED,4344,502,2,2,5,5,4,,1,,,,1,,,,,,,,0
"Saenz, Michael A",,,,,,COMM,1315,0H1,7,,,,1,,,,,,,,3,,,,,,0
"Brinkley, Dawn Y","Helfers, Samantha",,,,,PSY,2301,004,,30,17,9,15,12,6,11,8,3,1,3,8,,,,,,4
"Kane, Heidi S",,,,,,HCS,6376,001,,7,2,1,,,,,,,,,,,,,,,1
"Kane, Heidi S",,,,,,PSYC,6376,001,,1,3,4,1,,,,,,,,,,,,,,0
"Nelson Taylor, Jackie A","Villarreal, Deyaun L",,,,,PSY,3310,002,,14,7,5,7,8,,2,2,1,,,1,,,,,,1
"Nelson Taylor, Jackie A","Villarreal, Deyaun L",,,,,CLDP,3310,002,,5,5,3,1,3,2,,1,,,2,,,,,,,0
"Jang, Youngki",,,,,,ACCT,2301,008,3,3,8,4,12,7,8,7,1,2,,1,1,,,,,,3
"Fey, Ann Majewicz","Kaveh, Orod","Hart, Robert A",,,,MECH,2340,001,2,7,8,2,5,1,,,,1,,4,,,,,,,1
"Friedman, Joshua B",,,,,,MKT,6352,501,,3,12,15,9,,,,,,,,,,,,,,0
